State,Apiary,Colony.ID,Trt
PA,PA-3,101,Double
PA,PA-3,102,Double
PA,PA-3,103,Single
PA,PA-3,104,Single
PA,PA-3,105,Double
PA,PA-3,106,Double
PA,PA-3,107,Single
PA,PA-3,108,Single
PA,PA-3,109,Double
PA,PA-3,110,Double
PA,PA-3,111,Single
PA,PA-3,112,Double
PA,PA-1,139,Double
PA,PA-1,140,Double
PA,PA-1,141,Single
PA,PA-1,142,Double
PA,PA-1,143,Single
PA,PA-1,144,Single
PA,PA-1,150,Double
PA,PA-1,160,Single
PA,PA-1,152,Double
PA,PA-1,156,Single
PA,PA-1,145,Single
PA,PA-1,146,Double
PA,PA-2,147,Double
PA,PA-2,148,Single
PA,PA-2,149,Double
PA,PA-2,151,Single
PA,PA-2,153,Double
PA,PA-2,154,Double
PA,PA-2,155,Single
PA,PA-2,157,Single
PA,PA-2,158,Double
PA,PA-2,159,Single
PA,PA-2,161,Double
PA,PA-2,162,Single
NY,NY-1,176,Single
NY,NY-1,171,Double
NY,NY-1,173,Double
NY,NY-1,182,Single
NY,NY-1,184,Double
NY,NY-1,165,Double
NY,NY-1,166,Double
NY,NY-1,164,Double
NY,NY-1,170,Single
NY,NY-1,185,Single
NY,NY-1,181,Single
NY,NY-1,174,Single
NY,NY-2,198,Single
NY,NY-2,177,Single
NY,NY-2,197,Single
NY,NY-2,196,Double
NY,NY-2,167,Single
NY,NY-2,195,Double
NY,NY-2,172,Double
NY,NY-2,179,Single
NY,NY-2,163,Double
NY,NY-2,180,Double
NY,NY-2,183,Double
NY,NY-2,169,Single
NY,NY-3,178,Double
NY,NY-3,175,Double
NY,NY-3,194,Single
NY,NY-3,193,Single
NY,NY-3,186,Single
NY,NY-3,168,Single
NY,NY-3,192,Single
NY,NY-3,191,Double
NY,NY-3,190,Double
NY,NY-3,189,Double
NY,NY-3,188,Double
NY,NY-3,187,Single
